time,open,high,low,close,volume,num_trades
2021-02-04 12:00:00,36884.34,37422.37,36761.89,37141.96,2972.451426,80261
2021-02-04 13:00:00,37143.44,37499.99,36980,37467.18,2969.281676,75098
2021-02-04 14:00:00,37467.18,37783.83,37366,37613.31,3154.238046,79887
2021-02-04 15:00:00,37613.32,37729.82,37302,37643,2384.693961,74675
2021-02-04 16:00:00,37643,37698.73,36964.03,37240,2533.48052,79029
2021-02-04 17:00:00,37240,37382.34,36841.77,36936.66,2701.299487,61845
2021-02-04 18:00:00,36936.65,37227.22,36795.72,36993.25,2538.982425,66150
2021-02-04 19:00:00,36993.25,37300,36570,36632.38,2618.349898,65505
2021-02-04 20:00:00,36632.38,36990,36570,36958.28,2861.360001,66191
2021-02-04 21:00:00,36958.33,37400,36909.71,37366.02,2614.23721,68270
2021-02-04 22:00:00,37366.01,37499,37187.81,37266.78,1902.890739,54835
2021-02-04 23:00:00,37266.79,37350.33,36995.27,37065.97,1730.406065,49929
2021-02-05 00:00:00,37065.98,37658,37021.8,37375.52,2965.59287,76786
2021-02-05 01:00:00,37374.39,37727.22,37374.38,37653.98,2722.549399,74145
2021-02-05 02:00:00,37659.64,37800,37392.71,37705.27,3404.586859,85797
2021-02-05 03:00:00,37705.27,37769.85,37211.85,37251.07,2526.099044,70845
2021-02-05 04:00:00,37251.07,37655.44,37200,37395.91,2315.261816,70360
2021-02-05 05:00:00,37395.92,37733.75,37395.78,37691.32,2165.149463,63507
2021-02-05 06:00:00,37691.32,38151.69,37527.14,37850.36,4197.957336,104275
2021-02-05 07:00:00,37850.36,38298,37767.09,38272.32,3967.773058,127525
2021-02-05 08:00:00,38272.33,38310.12,37960.73,38095.02,4108.056943,99933
2021-02-05 09:00:00,38095.14,38288.19,37871.42,37960.76,3833.8729,114481
2021-02-05 10:00:00,37960.76,38163.34,37655.17,37809.55,4270.395934,130627
2021-02-05 11:00:00,37813.19,37950,37733,37894.61,2229.581763,68440
2021-02-05 12:00:00,37894.61,37922.44,37312.25,37406.23,2936.18453,73073
2021-02-05 13:00:00,37405.63,37676.13,37230,37608.92,3067.360933,77422
2021-02-05 14:00:00,37608.91,37790,37485.94,37740.39,2177.904759,69036
2021-02-05 15:00:00,37740.4,37920,37656.29,37819.67,1692.320327,60169
2021-02-05 16:00:00,37819.67,37971.61,37652.79,37784.12,1587.732812,53710
2021-02-05 17:00:00,37782.98,38309,37743.81,38290.24,2246.727191,62242
2021-02-05 18:00:00,38289.32,38879,38215.94,38740.92,5397.483552,147707
2021-02-05 19:00:00,38740.92,39482.18,38275.86,38806.45,10003.94638,197361
2021-02-05 20:00:00,38806.45,39535.36,38612,39382.1,5911.874527,128272
2021-02-05 21:00:00,39383.26,39666,39200,39384.74,4116.762355,91721
2021-02-05 22:00:00,39386.92,39386.93,38933,39179.56,2678.750885,60522
2021-02-05 23:00:00,39179.56,39238,38600,39014.73,2895.912396,64210
2021-02-06 00:00:00,39015.08,39458.37,38989.9,39267.47,2778.740634,58879
2021-02-06 01:00:00,39267.47,39488.62,39156.16,39359.12,2344.527687,55905
2021-02-06 02:00:00,39362.27,39699.69,39297.75,39425.02,3300.466872,74577
2021-02-06 03:00:00,39427,39900,39400,39887.91,3983.375623,92083
2021-02-06 04:00:00,39887.91,40000,39516.17,39998.63,4327.836156,89421
2021-02-06 05:00:00,39998.63,40479.86,39992.64,40199.99,6837.077436,143363
2021-02-06 06:00:00,40199.52,40445.55,39836.72,39902.49,4298.298209,92646
2021-02-06 07:00:00,39902.5,40255.08,39900,40130.47,2914.837204,79449
2021-02-06 08:00:00,40127.07,40574.85,40125.3,40268.44,3508.674711,93559
2021-02-06 09:00:00,40268.44,40866.66,40134.8,40864.73,4850.415338,125084
2021-02-06 10:00:00,40865.12,40955.51,40478.19,40608.76,4533.517799,95758
2021-02-06 11:00:00,40608.77,40662.01,40163.67,40197.01,3400.926765,100225
2021-02-06 12:00:00,40197.01,40444.44,40052.39,40276.41,3152.891872,99367
2021-02-06 13:00:00,40276.41,40420,39940.44,40179.42,3188.911421,66350
2021-02-06 14:00:00,40179.42,40179.42,39572.74,40087.4,4169.923397,85476
2021-02-06 15:00:00,40087.4,40250,40026.98,40028.19,2506.702067,78962
2021-02-06 16:00:00,40028.91,40469.19,39869,39992.77,2057.032105,64952
2021-02-06 17:00:00,39992.77,40083.86,39035.33,39186.94,5598.425794,105797
2021-02-06 18:00:00,39181.01,39611.04,38701,39564.17,4552.184099,93465
2021-02-06 19:00:00,39564.16,39588.9,38500,38627.36,4822.672218,101064
2021-02-06 20:00:00,38627.36,38820,38344,38747.31,4332.430976,98932
2021-02-06 21:00:00,38747.31,38926.58,38554.63,38841.46,2453.33738,84838
2021-02-06 22:00:00,38839.52,38839.52,37923,38312.99,4918.021119,121762
2021-02-06 23:00:00,38312.99,38692.04,38175.02,38511,2441.370485,60173
2021-02-07 00:00:00,38511.01,38700,38282.44,38531.35,2092.40306,50410
2021-02-07 01:00:00,38531.35,39094.36,38410.63,39030,3441.570324,72600
2021-02-07 02:00:00,39030,39529,39021.22,39496.96,3816.580706,78481
2021-02-07 03:00:00,39496.96,39700,39304.18,39513.92,2546.251687,60075
2021-02-07 04:00:00,39513.92,39658.04,39124.39,39331.42,3239.676941,72901
2021-02-07 05:00:00,39331.43,39358,38762.16,39046.6,3207.014305,80558
2021-02-07 06:00:00,39044.37,39272.69,38530.25,38820.87,3546.260633,84468
2021-02-07 07:00:00,38820.87,39119.47,38381.62,38629.26,3723.038241,82493
2021-02-07 08:00:00,38629.26,38700,38162.87,38214.98,3836.981985,89438
2021-02-07 09:00:00,38215.01,38395.26,37580,37921.11,6376.158066,139577
2021-02-07 10:00:00,37921.12,38244.5,37351,38185.72,6459.783562,133648
2021-02-07 11:00:00,38179.78,38208.6,37685.96,37870.62,2902.656769,71482
2021-02-07 12:00:00,37870.63,38342.88,37846.66,38239.1,2631.353315,68332
2021-02-07 13:00:00,38239.37,38444,37976,38050,2671.246336,65691
2021-02-07 14:00:00,38050,38492.82,37660.97,38471.95,2745.744017,68446
2021-02-07 15:00:00,38471.96,38635.42,38355.45,38530.33,2282.274725,55575
2021-02-07 16:00:00,38530.37,38832.99,38285.1,38797.02,2286.315835,76519
2021-02-07 17:00:00,38797.02,39080,38715.66,38795.69,3038.352979,65429
2021-02-07 18:00:00,38795.69,39130,38650.76,38725.4,3030.91878,65167
2021-02-07 19:00:00,38725.4,38909.95,38430.48,38521.72,2492.173653,56830
2021-02-07 20:00:00,38521.72,38650,38149,38249,2220.463821,52010
2021-02-07 21:00:00,38249,38497.5,37988.89,38076.06,2798.660609,55513
2021-02-07 22:00:00,38073.02,38684.21,37992.39,38584.7,2611.816272,54037
2021-02-07 23:00:00,38584.92,38872,38440.68,38677.47,2411.128765,52341
2021-02-08 00:00:00,38677.84,39233.39,38620,39012.69,2829.472964,63244
2021-02-08 01:00:00,39012.69,39391.78,38874.63,39269.95,2414.801944,61747
2021-02-08 02:00:00,39269.78,39349.56,39040.17,39175.38,2258.264492,62080
2021-02-08 03:00:00,39175.38,39364.77,38888,38954.27,2762.90216,75447
2021-02-08 04:00:00,38954.28,39450.1,38844.75,39418.71,3105.503455,78008
2021-02-08 05:00:00,39418.71,39498.99,39301.01,39423.08,2769.795076,97377
2021-02-08 06:00:00,39423.08,43231.1,39094.01,42984.07,13971.32848,281022
2021-02-08 07:00:00,42984.07,44918,41906.7,42897.12,21921.23646,457654
2021-02-08 08:00:00,42907.14,44057.94,42767.63,43558.73,11977.05864,217634
2021-02-08 09:00:00,43560.93,44164.74,43345.27,43716.32,9038.406956,195838
2021-02-08 10:00:00,43703.23,44280,43051,43170.24,8148.287282,203787
2021-02-08 11:00:00,43184.74,43418.39,42521.62,43079.07,5094.633972,162393
