,time,tweet
117,2021-04-17T04:46:34.000Z,"If we make life multiplanetary, there may come a day when some plants &amp; animals die out on Earth, but are still alive on Mars"
118,2021-04-17T01:37:48.000Z,Everything to the moon!
119,2021-04-16T22:16:48.000Z,We are honored to be part of the @NASAArtemis team
120,2021-04-16T21:55:05.000Z,🚀🖤💫 NASA Rules!! 💫🖤🚀 https://t.co/hmeGx2peZ6
121,2021-04-16T17:01:25.000Z,👀
122,2021-04-16T02:13:57.000Z,🎸🎸 Austin Rocks!! 🎸 🎸
123,2021-04-16T00:50:37.000Z,Make life multiplanetary! #Mars
124,2021-04-15T04:33:18.000Z,Doge Barking at the Moon https://t.co/QFB81D7zOL
125,2021-04-15T03:47:00.000Z,Le Petit Prince
126,2021-04-15T03:42:35.000Z,"☾

           🔭𖨆♡"
127,2021-04-14T21:57:08.000Z,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.
128,2021-04-11T15:48:58.000Z,Love this beautiful shot
129,2021-04-11T12:23:49.000Z,The art In Cyberpunk is incredible
130,2021-04-10T22:09:02.000Z,Blimps rock https://t.co/e8cu5FkNOI
131,2021-04-10T07:45:17.000Z,Just needs some legs
132,2021-04-10T07:45:10.000Z,The Starship launch tower that catches the giant rocket booster is basically Mechazilla
133,2021-04-10T07:29:45.000Z,But wait how is the core of the earth lit by the sun? Stop asking questions!!
134,2021-04-10T07:29:01.000Z,Kong vs Godzilla has record for most meth ever consumed in a writer’s room
135,2021-04-10T07:15:47.000Z,… going to moon very soon
136,2021-04-10T06:41:45.000Z,Where is Shrek 5!? https://t.co/PqAZ5Mg8Es
137,2021-04-09T22:24:01.000Z,It’s all about the cufflinks https://t.co/elccqC0Zuf
138,2021-04-09T11:24:30.000Z,Thanks to all that helped SpaceX!
139,2021-04-09T11:21:13.000Z,Just read it. Book is accurate. https://t.co/3bI9Vw8iP1
140,2021-04-09T07:32:42.000Z,https://t.co/XeQursZpvq doge picture
141,2021-04-09T04:11:42.000Z,Soon our monkey will be on twitch &amp; discord haha
142,2021-04-09T01:48:09.000Z,A monkey is literally playing a video game telepathically using a brain chip!!
143,2021-04-09T01:41:23.000Z,"The device is implanted flush with skull &amp; charges wirelessly, so you look &amp; feel totally normal"
144,2021-04-09T00:29:40.000Z,"Later versions will be able to shunt signals from Neuralinks in brain to Neuralinks in body motor/sensory neuron clusters, thus enabling, for example, paraplegics to walk again"
145,2021-04-09T00:24:31.000Z,First @Neuralink product will enable someone with paralysis to use a smartphone with their mind faster than someone using thumbs
