,time,sentiment
200,2020-12-20 09:00:00,1.0
201,2020-12-20 10:00:00,-1.0
202,2020-12-20 11:00:00,0.0
203,2020-12-21 14:00:00,0.0
204,2020-12-24 01:00:00,0.0
205,2020-12-24 02:00:00,0.0
206,2020-12-25 17:00:00,0.0
207,2020-12-25 21:00:00,0.0
208,2020-12-27 23:00:00,0.0
209,2020-12-28 18:00:00,0.0
210,2020-12-28 20:00:00,0.0
211,2020-12-29 21:00:00,0.0
212,2020-12-29 22:00:00,0.0
213,2020-12-29 23:00:00,0.0
214,2020-12-30 06:00:00,0.0
215,2020-12-30 10:00:00,0.0
216,2020-12-31 06:00:00,0.0
217,2021-01-02 15:00:00,0.0
218,2021-01-04 21:00:00,0.0
219,2021-01-07 05:00:00,0.0
220,2021-01-07 11:00:00,0.0
221,2021-01-07 13:00:00,0.0
222,2021-01-07 19:00:00,0.0
223,2021-01-08 02:00:00,0.0
224,2021-01-08 03:00:00,0.0
225,2021-01-09 19:00:00,0.0
226,2021-01-12 12:00:00,0.0
227,2021-01-13 00:00:00,0.0
228,2021-01-13 10:00:00,0.0
229,2021-01-13 20:00:00,0.0
230,2021-01-13 22:00:00,0.0
231,2021-01-15 07:00:00,0.0
232,2021-01-18 06:00:00,0.0
233,2021-01-22 00:00:00,0.0
234,2021-01-23 00:00:00,0.0
235,2021-01-24 20:00:00,0.0
236,2021-01-26 12:00:00,0.0
237,2021-01-26 22:00:00,0.0
238,2021-01-26 23:00:00,0.0
239,2021-01-28 02:00:00,0.0
240,2021-01-28 03:00:00,0.0
241,2021-01-28 12:00:00,0.0
242,2021-01-28 21:00:00,0.0
243,2021-01-28 23:00:00,0.0
244,2021-01-29 00:00:00,0.0
245,2021-01-29 09:00:00,0.0
246,2021-01-29 21:00:00,0.0
247,2021-01-30 10:00:00,0.0
248,2021-01-30 21:00:00,0.0
249,2021-01-31 21:00:00,0.0
250,2021-01-31 22:00:00,0.0
251,2021-02-01 00:00:00,0.0
252,2021-02-02 00:00:00,0.0
253,2021-02-02 09:00:00,0.0
254,2021-02-04 08:00:00,0.0
255,2021-02-04 09:00:00,-1.0
256,2021-02-04 10:00:00,0.0
257,2021-02-04 11:00:00,0.0
258,2021-02-06 05:00:00,0.0
259,2021-02-06 07:00:00,0.0
260,2021-02-06 09:00:00,0.0
261,2021-02-06 10:00:00,0.0
262,2021-02-06 23:00:00,0.0
263,2021-02-07 08:00:00,0.0
264,2021-02-07 23:00:00,0.0
265,2021-02-08 01:00:00,0.0
266,2021-02-08 02:00:00,0.0
267,2021-02-08 07:00:00,0.0
268,2021-02-09 01:00:00,0.0
269,2021-02-10 08:00:00,1.0
270,2021-02-10 16:00:00,0.0
271,2021-02-10 17:00:00,0.0
272,2021-02-10 20:00:00,0.0
273,2021-02-10 22:00:00,0.0
274,2021-02-11 10:00:00,-1.0
275,2021-02-11 21:00:00,0.0
276,2021-02-13 15:00:00,0.0
